"","employees","salaries_2017","adjustments","salaries_2018","got_raise"
"1","Employee 1",49755.8575193398,1043.51192130707,50799.3694406468,TRUE
"2","Employee 2",45828.2965118997,3431.65069934912,49259.9472112488,TRUE
"3","Employee 3",44058.6051228456,3599.65203795582,47658.2571608014,TRUE
"4","Employee 4",48224.304902833,7834.09751136787,56058.4024142008,TRUE
"5","Employee 5",40499.9512713403,3994.83926361427,44494.7905349545,TRUE
"6","Employee 6",45877.5262464769,5161.92116658203,51039.447413059,TRUE
"7","Employee 7",40952.5789995678,-3753.12010175548,37199.4588978123,FALSE
"8","Employee 8",44341.9071333483,-2725.01341882162,41616.8937145267,FALSE
"9","Employee 9",46145.4043746926,5177.98463348299,51323.3890081756,TRUE
"10","Employee 10",45574.910719879,-4628.49679519422,40946.4139246847,FALSE
"11","Employee 11",45911.4601509646,268.579844851047,46180.0399958156,TRUE
"12","Employee 12",45907.9642011784,5370.42619776912,51278.3903989475,TRUE
"13","Employee 13",42280.1177413203,-1108.33343467675,41171.7843066435,FALSE
"14","Employee 14",48323.0783906765,2485.64083245583,50808.7192231324,TRUE
"15","Employee 15",47756.5628220327,4733.88374666683,52490.4465686996,TRUE
"16","Employee 16",44625.2657216974,-1292.95432008803,43332.3114016093,FALSE
"17","Employee 17",46101.5595076606,-4243.24210034683,41858.3174073137,FALSE
"18","Employee 18",46408.053827472,6797.6111639291,53205.6649914011,TRUE
"19","Employee 19",49496.9889405183,6332.72309787571,55829.7120383941,TRUE
"20","Employee 20",45375.7178154774,8953.3061045222,54329.0239199996,TRUE
"21","Employee 21",45894.6135407314,-2039.50460185297,43855.1089388784,FALSE
"22","Employee 22",43396.8063280918,4516.63266052492,47913.4389886167,TRUE
"23","Employee 23",45458.470848389,-4469.14522792213,40989.3256204668,FALSE
"24","Employee 24",41275.716079399,706.026195548475,41981.7422749475,TRUE
"25","Employee 25",44003.2308525406,7144.39482311718,51147.6256756578,TRUE
"26","Employee 26",47057.0355188102,1375.36637368612,48432.4018924963,TRUE
"27","Employee 27",42486.3318330608,1884.57831041887,44370.9101434797,TRUE
"28","Employee 28",40829.7499129549,3225.56419647299,44055.3141094279,TRUE
"29","Employee 29",40530.9104453772,5879.40970319323,46410.3201485705,TRUE
"30","Employee 30",40272.4016527645,6356.28625168465,46628.6879044492,TRUE
"31","Employee 31",45856.0521015897,4229.7489347402,50085.8010363299,TRUE
"32","Employee 32",45357.8213206492,2690.46160508879,48048.282925738,TRUE
"33","Employee 33",46185.7460997999,6464.91227671504,52650.6583765149,TRUE
"34","Employee 34",41988.2916705683,-3143.01153994165,38845.2801306266,FALSE
"35","Employee 35",48379.719289951,8399.41918267868,56779.1384726297,TRUE
"36","Employee 36",40281.3982986845,-386.943478370085,39894.4548203144,FALSE
"37","Employee 37",44160.4805062525,4313.62375151366,48474.1042577662,TRUE
"38","Employee 38",42210.9548817389,-2888.31123849377,39322.6436432451,FALSE
"39","Employee 39",47812.3390930705,-3841.28966950811,43971.0494235624,FALSE
"40","Employee 40",44914.5893962122,4422.8167005349,49337.4060967471,TRUE
"41","Employee 41",48242.7890785038,-2390.33353514969,45852.4555433542,FALSE
"42","Employee 42",42743.4424590319,-4854.23741862178,37889.2050404102,FALSE
"43","Employee 43",46511.0767818987,-3018.714254722,43492.3625271767,FALSE
"44","Employee 44",43326.0241500102,6343.55195448734,49669.5761044975,TRUE
"45","Employee 45",48940.9892144613,2585.93274862505,51526.9219630864,TRUE
"46","Employee 46",45342.3957340419,-1705.58403129689,43636.811702745,FALSE
"47","Employee 47",40879.1360305622,5299.71471987665,46178.8507504389,TRUE
"48","Employee 48",42456.6312716343,-2423.96270507015,40032.6685665641,FALSE
"49","Employee 49",46250.6631412543,-124.204044695944,46126.4590965584,FALSE
"50","Employee 50",47811.3533230498,3770.41375380941,51581.7670768593,TRUE
"51","Employee 51",49701.8609545194,6675.61407550238,56377.4750300217,TRUE
"52","Employee 52",42513.1588429213,4483.70610713027,46996.8649500515,TRUE
"53","Employee 53",40976.1379892007,8062.87353625521,49039.0115254559,TRUE
"54","Employee 54",40951.5660698526,-2612.65968205407,38338.9063877985,FALSE
"55","Employee 55",41026.6120638698,8481.46594827995,49508.0780121498,TRUE
"56","Employee 56",45851.1277544312,5021.95831388235,50873.0860683136,TRUE
"57","Employee 57",48712.0224023238,2947.14677962475,51659.1691819485,TRUE
